city|state|state_name|county
Parma|OH|Ohio|Cuyahoga
Pharr|TX|Texas|Hidalgo
State College|PA|Pennsylvania|Centre
Plymouth|MN|Minnesota|Hennepin
Turlock|CA|California|Stanislaus
Davis|CA|California|Yolo
Perris|CA|California|Riverside
Jonesboro|AR|Arkansas|Craighead
Tustin|CA|California|Orange
Terre Haute|IN|Indiana|Vigo
Upland|CA|California|San Bernardino
Georgetown|TX|Texas|Williamson
Texarkana|TX|Texas|Bowie
Kendall|FL|Florida|Miami-Dade
Pasco|WA|Washington|Franklin
Milpitas|CA|California|Santa Clara
Carmichael|CA|California|Sacramento
Chino Hills|CA|California|San Bernardino
Flower Mound|TX|Texas|Denton
Flagstaff|AZ|Arizona|Coconino
Alton|IL|Illinois|Madison
Pleasanton|CA|California|Alameda
Cedar Park|TX|Texas|Williamson
Bellflower|CA|California|Los Angeles
Loveland|CO|Colorado|Larimer
Mansfield|OH|Ohio|Richland
Hammond|IN|Indiana|Lake
Bethlehem|PA|Pennsylvania|Northampton
Woodbury|MN|Minnesota|Washington
Alameda|CA|California|Alameda
Wyoming|MI|Michigan|Kent
Schaumburg|IL|Illinois|Cook
Castle Rock|CO|Colorado|Douglas
Evanston|IL|Illinois|Cook
Doral|FL|Florida|Miami-Dade
St. Joseph|MO|Missouri|Buchanan
Valdosta|GA|Georgia|Lowndes
Wausau|WI|Wisconsin|Marathon
Pocatello|ID|Idaho|Bannock
Elizabethtown|KY|Kentucky|Hardin
Anniston|AL|Alabama|Calhoun
Arlington Heights|IL|Illinois|Cook
Rochester Hills|MI|Michigan|Oakland
Southfield|MI|Michigan|Oakland
Daytona Beach|FL|Florida|Volusia
Pittsburg|CA|California|Contra Costa
Oshkosh|WI|Wisconsin|Winnebago
Redmond|WA|Washington|King
Saratoga Springs|NY|New York|Saratoga
Apple Valley|CA|California|San Bernardino
Mansfield|TX|Texas|Tarrant
Pawtucket|RI|Rhode Island|Providence
Missouri City|TX|Texas|Fort Bend
Broomfield|CO|Colorado|Broomfield
Janesville|WI|Wisconsin|Rock
San Marcos|TX|Texas|Hays
Camarillo|CA|California|Ventura
Jackson|TN|Tennessee|Madison
Dothan|AL|Alabama|Houston
Sherman|TX|Texas|Grayson
Lauderhill|FL|Florida|Broward
Harrisonburg|VA|Virginia|Harrisonburg
Bolingbrook|IL|Illinois|Will
Ellicott City|MD|Maryland|Howard
Alexandria|LA|Louisiana|Rapides
Battle Creek|MI|Michigan|Calhoun
New Britain|CT|Connecticut|Capitol
Sheboygan|WI|Wisconsin|Sheboygan
Brunswick|GA|Georgia|Glynn
Altoona|PA|Pennsylvania|Blair
Lodi|CA|California|San Joaquin
Redlands|CA|California|San Bernardino
Caguas|PR|Puerto Rico|Caguas
Dale City|VA|Virginia|Prince William
Glen Burnie|MD|Maryland|Anne Arundel
Mount Vernon|NY|New York|Westchester
Lakeville|MN|Minnesota|Dakota
Dover|NH|New Hampshire|Strafford
Lebanon|PA|Pennsylvania|Lebanon
Rocklin|CA|California|Placer
Framingham|MA|Massachusetts|Middlesex
Wesley Chapel|FL|Florida|Pasco
Noblesville|IN|Indiana|Hamilton
Tamarac|FL|Florida|Broward
Centreville|VA|Virginia|Fairfax
Poinciana|FL|Florida|Polk
Fairbanks|AK|Alaska|Fairbanks North Star
Lake Elsinore|CA|California|Riverside
Camden|NJ|New Jersey|Camden
Rogers|AR|Arkansas|Benton
Blaine|MN|Minnesota|Anoka
Wilmington|DE|Delaware|New Castle
St. Charles|MO|Missouri|St. Charles
Blacksburg|VA|Virginia|Montgomery
Waukesha|WI|Wisconsin|Waukesha
Casas Adobes|AZ|Arizona|Pima
Baldwin Park|CA|California|Los Angeles
Cleveland|TN|Tennessee|Bradley
Dublin|CA|California|Alameda
Ankeny|IA|Iowa|Polk
Maple Grove|MN|Minnesota|Hennepin
Bayonne|NJ|New Jersey|Hudson
North Richland Hills|TX|Texas|Tarrant
Eastvale|CA|California|Riverside
Guaynabo|PR|Puerto Rico|Guaynabo
Glens Falls|NY|New York|Warren
Longview|WA|Washington|Cowlitz
Tulare|CA|California|Tulare
Conway|AR|Arkansas|Faulkner
West Des Moines|IA|Iowa|Polk
Redondo Beach|CA|California|Los Angeles
Walnut Creek|CA|California|Contra Costa
Passaic|NJ|New Jersey|Passaic
Porterville|CA|California|Tulare
Maricopa|AZ|Arizona|Pinal
Fajardo|PR|Puerto Rico|Fajardo
Spring Hill|TN|Tennessee|Maury
Gaithersburg|MD|Maryland|Montgomery
El Paso de Robles|CA|California|San Luis Obispo
East Orange|NJ|New Jersey|Essex
Sumter|SC|South Carolina|Sumter
Grand Forks|ND|North Dakota|Grand Forks
Bristol|TN|Tennessee|Sullivan
Michigan City|IN|Indiana|LaPorte
Gary|IN|Indiana|Lake
Dubuque|IA|Iowa|Dubuque
Schenectady|NY|New York|Schenectady
Casper|WY|Wyoming|Natrona
Hanford|CA|California|Kings
Shawnee|KS|Kansas|Johnson
South Hill|WA|Washington|Pierce
Eagan|MN|Minnesota|Dakota
Union City|CA|California|Alameda
Weston|FL|Florida|Broward
Kankakee|IL|Illinois|Kankakee
Leander|TX|Texas|Williamson
Hammond|LA|Louisiana|Tangipahoa
Corvallis|OR|Oregon|Benton
Apex|NC|North Carolina|Wake
Yorba Linda|CA|California|Orange
Bethesda|MD|Maryland|Montgomery
Haverhill|MA|Massachusetts|Essex
Palo Alto|CA|California|Santa Clara
Rockville|MD|Maryland|Montgomery
Spring|TX|Texas|Harris
Delray Beach|FL|Florida|Palm Beach
Watsonville|CA|California|Santa Cruz
Mount Vernon|WA|Washington|Skagit
Palatine|IL|Illinois|Cook
Victoria|TX|Texas|Victoria
Skokie|IL|Illinois|Cook
Morristown|TN|Tennessee|Hamblen
Sammamish|WA|Washington|King
Union City|NJ|New Jersey|Hudson
