City|State short|State full|County|City alias
Memphis|TN|Tennessee|Shelby|Memphis
Oklahoma City|OK|Oklahoma|Oklahoma|Oklahoma City
Hartford|CT|Connecticut|Capitol|Hartford
Louisville|KY|Kentucky|Jefferson|Louisville
Buffalo|NY|New York|Erie|Buffalo
Fort Worth|TX|Texas|Tarrant|Fort Worth
Bridgeport|CT|Connecticut|Greater Bridgeport|Bridgeport
New Orleans|LA|Louisiana|Orleans|New Orleans
Tucson|AZ|Arizona|Pima|Tucson
El Paso|TX|Texas|El Paso|El Paso
Omaha|NE|Nebraska|Douglas|Omaha
McAllen|TX|Texas|Hidalgo|McAllen
Birmingham|AL|Alabama|Jefferson|Birmingham
Albuquerque|NM|New Mexico|Bernalillo|Albuquerque
Tulsa|OK|Oklahoma|Tulsa|Tulsa
Charleston|SC|South Carolina|Charleston|Charleston
Fresno|CA|California|Fresno|Fresno
Rochester|NY|New York|Monroe|Rochester
Dayton|OH|Ohio|Montgomery|Dayton
Cape Coral|FL|Florida|Lee|Cape Coral
Provo|UT|Utah|Utah|Provo
Colorado Springs|CO|Colorado|El Paso|Colorado Springs
Mission Viejo|CA|California|Orange|Mission Viejo
Allentown|PA|Pennsylvania|Lehigh|Allentown
Baton Rouge|LA|Louisiana|East Baton Rouge|Baton Rouge
Ogden|UT|Utah|Weber|Ogden
Knoxville|TN|Tennessee|Knox|Knoxville
Grand Rapids|MI|Michigan|Kent|Grand Rapids
Columbia|SC|South Carolina|Richland|Columbia
Albany|NY|New York|Albany|Albany
Bakersfield|CA|California|Kern|Bakersfield
New Haven|CT|Connecticut|South Central Connecticut|New Haven
Des Moines|IA|Iowa|Polk|Des Moines
Palm Bay|FL|Florida|Brevard|Palm Bay
Akron|OH|Ohio|Summit|Akron
Concord|CA|California|Contra Costa|Concord
Mesa|AZ|Arizona|Maricopa|Mesa
Wichita|KS|Kansas|Sedgwick|Wichita
Harrisburg|PA|Pennsylvania|Dauphin|Harrisburg
Staten Island|NY|New York|Richmond|Staten Island
Toledo|OH|Ohio|Lucas|Toledo
Worcester|MA|Massachusetts|Worcester|Worcester
Port St. Lucie|FL|Florida|St. Lucie|Port St. Lucie
Little Rock|AR|Arkansas|Pulaski|Little Rock
Madison|WI|Wisconsin|Dane|Madison
Spokane|WA|Washington|Spokane|Spokane
Long Beach|CA|California|Los Angeles|Long Beach
Denton|TX|Texas|Denton|Denton
Reno|NV|Nevada|Washoe|Reno
Boise|ID|Idaho|Ada|Boise
Bonita Springs|FL|Florida|Lee|Bonita Springs
Kissimmee|FL|Florida|Osceola|Kissimmee
Augusta|GA|Georgia|Richmond|Augusta
Springfield|MA|Massachusetts|Hampden|Springfield
Oakland|CA|California|Alameda|Oakland
Winston-Salem|NC|North Carolina|Forsyth|Winston-Salem
Stockton|CA|California|San Joaquin|Stockton
Durham|NC|North Carolina|Durham|Durham
Chattanooga|TN|Tennessee|Hamilton|Chattanooga
Greenville|SC|South Carolina|Greenville|Greenville
Lancaster|PA|Pennsylvania|Lancaster|Lancaster
Syracuse|NY|New York|Onondaga|Syracuse
Fayetteville|AR|Arkansas|Washington|Fayetteville
Pensacola|FL|Florida|Escambia|Pensacola
Arlington|TX|Texas|Tarrant|Arlington
Aurora|CO|Colorado|Arapahoe|Aurora
Scranton|PA|Pennsylvania|Lackawanna|Scranton
Oxnard|CA|California|Ventura|Oxnard
Indio|CA|California|Riverside|Indio
Victorville|CA|California|San Bernardino|Victorville
Trenton|NJ|New Jersey|Mercer|Trenton
Huntsville|AL|Alabama|Madison|Huntsville
Modesto|CA|California|Stanislaus|Modesto
Honolulu|HI|Hawaii|Honolulu|Honolulu
Greensboro|NC|North Carolina|Guilford|Greensboro
Fort Wayne|IN|Indiana|Allen|Fort Wayne
Anaheim|CA|California|Orange|Anaheim
Corpus Christi|TX|Texas|Nueces|Corpus Christi
Fort Collins|CO|Colorado|Larimer|Fort Collins
Antioch|CA|California|Contra Costa|Antioch
Jackson|MS|Mississippi|Hinds|Jackson
Fayetteville|NC|North Carolina|Cumberland|Fayetteville
Myrtle Beach|SC|South Carolina|Horry|Myrtle Beach
Henderson|NV|Nevada|Clark|Henderson
Mobile|AL|Alabama|Mobile|Mobile
Lexington|KY|Kentucky|Fayette|Lexington
Lansing|MI|Michigan|Ingham|Lansing
Savannah|GA|Georgia|Chatham|Savannah
Youngstown|OH|Ohio|Mahoning|Youngstown
Ann Arbor|MI|Michigan|Washtenaw|Ann Arbor
Santa Ana|CA|California|Orange|Santa Ana
Irvine|CA|California|Orange|Irvine
St. Paul|MN|Minnesota|Ramsey|St. Paul
Poughkeepsie|NY|New York|Dutchess|Poughkeepsie
Newark|NJ|New Jersey|Essex|Newark
Santa Rosa|CA|California|Sonoma|Santa Rosa
Concord|NC|North Carolina|Cabarrus|Concord
Winter Haven|FL|Florida|Polk|Winter Haven
Asheville|NC|North Carolina|Buncombe|Asheville
Canton|OH|Ohio|Stark|Canton
Lincoln|NE|Nebraska|Lancaster|Lincoln
Flint|MI|Michigan|Genesee|Flint
Lakeland|FL|Florida|Polk|Lakeland
Jersey City|NJ|New Jersey|Hudson|Jersey City
Anchorage|AK|Alaska|Anchorage|Anchorage
Springfield|MO|Missouri|Greene|Springfield
Plano|TX|Texas|Collin|Plano
Lubbock|TX|Texas|Lubbock|Lubbock
Davenport|IA|Iowa|Scott|Davenport
Reading|PA|Pennsylvania|Berks|Reading
Shreveport|LA|Louisiana|Caddo|Shreveport
Chandler|AZ|Arizona|Maricopa|Chandler
South Bend|IN|Indiana|St. Joseph|South Bend
Wilmington|NC|North Carolina|New Hanover|Wilmington
Chula Vista|CA|California|San Diego|Chula Vista
Rockford|IL|Illinois|Winnebago|Rockford
Eugene|OR|Oregon|Lane|Eugene
Salem|OR|Oregon|Marion|Salem
Gilbert|AZ|Arizona|Maricopa|Gilbert
North Las Vegas|NV|Nevada|Clark|North Las Vegas
Santa Clarita|CA|California|Los Angeles|Santa Clarita
Peoria|IL|Illinois|Peoria|Peoria
Tallahassee|FL|Florida|Leon|Tallahassee
Killeen|TX|Texas|Bell|Killeen
St. Petersburg|FL|Florida|Pinellas|St. Petersburg
Kennewick|WA|Washington|Benton|Kennewick
Columbus|GA|Georgia|Muscogee|Columbus
Laredo|TX|Texas|Webb|Laredo
Irving|TX|Texas|Dallas|Irving
Round Lake Beach|IL|Illinois|Lake|Round Lake Beach
Montgomery|AL|Alabama|Montgomery|Montgomery
Chesapeake|VA|Virginia|Chesapeake|Chesapeake
Glendale|AZ|Arizona|Maricopa|Glendale
Nashua|NH|New Hampshire|Hillsborough|Nashua
York|PA|Pennsylvania|York|York
Garland|TX|Texas|Dallas|Garland
Rock Hill|SC|South Carolina|York|Rock Hill
Scottsdale|AZ|Arizona|Maricopa|Scottsdale
Aguadilla|PR|Puerto Rico|Aguadilla|Aguadilla
Arlington|VA|Virginia|Arlington|Arlington
Norfolk|VA|Virginia|Norfolk|Norfolk
Appleton|WI|Wisconsin|Outagamie|Appleton
Enterprise|NV|Nevada|Clark|Enterprise
Gulfport|MS|Mississippi|Harrison|Gulfport
Lafayette|LA|Louisiana|Lafayette|Lafayette
Bremerton|WA|Washington|Kitsap|Bremerton
Fremont|CA|California|Alameda|Fremont
Green Bay|WI|Wisconsin|Brown|Green Bay
Fargo|ND|North Dakota|Cass|Fargo
Deltona|FL|Florida|Volusia|Deltona
Brownsville|TX|Texas|Cameron|Brownsville
Hialeah|FL|Florida|Miami-Dade|Hialeah
San Bernardino|CA|California|San Bernardino|San Bernardino
Tacoma|WA|Washington|Pierce|Tacoma
Gainesville|FL|Florida|Alachua|Gainesville
Spring Valley|NV|Nevada|Clark|Spring Valley
Clarksville|TN|Tennessee|Montgomery|Clarksville
College Station|TX|Texas|Brazos|College Station
Olympia|WA|Washington|Thurston|Olympia
Roanoke|VA|Virginia|Roanoke|Roanoke
Portland|ME|Maine|Cumberland|Portland
Fontana|CA|California|San Bernardino|Fontana
Spartanburg|SC|South Carolina|Spartanburg|Spartanburg
Moreno Valley|CA|California|Riverside|Moreno Valley
Frisco|TX|Texas|Collin|Frisco
Yonkers|NY|New York|Westchester|Yonkers
Thousand Oaks|CA|California|Ventura|Thousand Oaks
Sioux Falls|SD|South Dakota|Minnehaha|Sioux Falls
Hagerstown|MD|Maryland|Washington|Hagerstown
Evansville|IN|Indiana|Vanderburgh|Evansville
Amarillo|TX|Texas|Potter|Amarillo
Kalamazoo|MI|Michigan|Kalamazoo|Kalamazoo
Lorain|OH|Ohio|Lorain|Lorain
Galveston|TX|Texas|Galveston|Galveston
McKinney|TX|Texas|Collin|McKinney
Huntington|WV|West Virginia|Cabell|Huntington
Nampa|ID|Idaho|Canyon|Nampa
Hickory|NC|North Carolina|Catawba|Hickory
Waterbury|CT|Connecticut|Naugatuck Valley|Waterbury
Sunrise Manor|NV|Nevada|Clark|Sunrise Manor
Grand Prairie|TX|Texas|Dallas|Grand Prairie
Ocala|FL|Florida|Marion|Ocala
Waco|TX|Texas|McLennan|Waco
Overland Park|KS|Kansas|Johnson|Overland Park
Frederick|MD|Maryland|Frederick|Frederick
Huntington Beach|CA|California|Orange|Huntington Beach
Santa Barbara|CA|California|Santa Barbara|Santa Barbara
Peoria|AZ|Arizona|Maricopa|Peoria
Cedar Rapids|IA|Iowa|Linn|Cedar Rapids
Vancouver|WA|Washington|Clark|Vancouver
Glendale|CA|California|Los Angeles|Glendale
Gastonia|NC|North Carolina|Gaston|Gastonia
Spring Hill|FL|Florida|Hernando|Spring Hill
Murfreesboro|TN|Tennessee|Rutherford|Murfreesboro
Tempe|AZ|Arizona|Maricopa|Tempe
Paradise|NV|Nevada|Clark|Paradise
Newport News|VA|Virginia|Newport News|Newport News
Erie|PA|Pennsylvania|Erie|Erie
Fort Lauderdale|FL|Florida|Broward|Fort Lauderdale
Gainesville|GA|Georgia|Hall|Gainesville
Aurora|IL|Illinois|Kane|Aurora
Mauldin|SC|South Carolina|Greenville|Mauldin
Ontario|CA|California|San Bernardino|Ontario
Elk Grove|CA|California|Sacramento|Elk Grove
Panama City|FL|Florida|Bay|Panama City
Cary|NC|North Carolina|Wake|Cary
Hemet|CA|California|Riverside|Hemet
Danbury|CT|Connecticut|Western Connecticut|Danbury
Rancho Cucamonga|CA|California|San Bernardino|Rancho Cucamonga
Salinas|CA|California|Monterey|Salinas
Oceanside|CA|California|San Diego|Oceanside
Vallejo|CA|California|Solano|Vallejo
High Point|NC|North Carolina|Guilford|High Point
Garden Grove|CA|California|Orange|Garden Grove
Pembroke Pines|FL|Florida|Broward|Pembroke Pines
Lancaster|CA|California|Los Angeles|Lancaster
Marysville|WA|Washington|Snohomish|Marysville
Bayamon|PR|Puerto Rico|Bayamón|Bayamon
Fredericksburg|VA|Virginia|Fredericksburg|Fredericksburg
Visalia|CA|California|Tulare|Visalia
Tuscaloosa|AL|Alabama|Tuscaloosa|Tuscaloosa
Palmdale|CA|California|Los Angeles|Palmdale
Santa Cruz|CA|California|Santa Cruz|Santa Cruz
Medford|OR|Oregon|Jackson|Medford
Norwich|CT|Connecticut|Southeastern Connecticut|Norwich
Merced|CA|California|Merced|Merced
Manchester|NH|New Hampshire|Hillsborough|Manchester
Odessa|TX|Texas|Ector|Odessa
Muskegon|MI|Michigan|Muskegon|Muskegon
Leesburg|FL|Florida|Lake|Leesburg
Lafayette|IN|Indiana|Tippecanoe|Lafayette
Hayward|CA|California|Alameda|Hayward
Corona|CA|California|Riverside|Corona
Paterson|NJ|New Jersey|Passaic|Paterson
Alexandria|VA|Virginia|Alexandria|Alexandria
Macon|GA|Georgia|Bibb|Macon
Lakewood|CO|Colorado|Jefferson|Lakewood
Springfield|IL|Illinois|Sangamon|Springfield
Kansas City|KS|Kansas|Wyandotte|Kansas City
Burlington|NC|North Carolina|Alamance|Burlington
Warner Robins|GA|Georgia|Houston|Warner Robins
Sunnyvale|CA|California|Santa Clara|Sunnyvale
Hollywood|FL|Florida|Broward|Hollywood
Roseville|CA|California|Placer|Roseville
New Bedford|MA|Massachusetts|Bristol|New Bedford
South Lyon|MI|Michigan|Oakland|South Lyon
Bellevue|WA|Washington|King|Bellevue
Fairfield|CA|California|Solano|Fairfield
Binghamton|NY|New York|Broome|Binghamton
Topeka|KS|Kansas|Shawnee|Topeka
Escondido|CA|California|San Diego|Escondido
Joliet|IL|Illinois|Will|Joliet
Surprise|AZ|Arizona|Maricopa|Surprise
Naperville|IL|Illinois|DuPage|Naperville
Pasadena|TX|Texas|Harris|Pasadena
Mesquite|TX|Texas|Dallas|Mesquite
Champaign|IL|Illinois|Champaign|Champaign
Pomona|CA|California|Los Angeles|Pomona
Houma|LA|Louisiana|Terrebonne|Houma
Athens|GA|Georgia|Clarke|Athens
St. George|UT|Utah|Washington|St. George
Beaumont|TX|Texas|Jefferson|Beaumont
Elkhart|IN|Indiana|Elkhart|Elkhart
Lake Charles|LA|Louisiana|Calcasieu|Lake Charles
Santa Maria|CA|California|Santa Barbara|Santa Maria
Yuma|AZ|Arizona|Yuma|Yuma
Olathe|KS|Kansas|Johnson|Olathe
Midland|TX|Texas|Midland|Midland
Greeley|CO|Colorado|Weld|Greeley
Torrance|CA|California|Los Angeles|Torrance
Thornton|CO|Colorado|Adams|Thornton
Las Cruces|NM|New Mexico|Doña Ana|Las Cruces
Columbia|MO|Missouri|Boone|Columbia
Fullerton|CA|California|Orange|Fullerton
Grand Junction|CO|Colorado|Mesa|Grand Junction
Carolina|PR|Puerto Rico|Carolina|Carolina
Metairie|LA|Louisiana|Jefferson|Metairie
Orange|CA|California|Orange|Orange
Warren|MI|Michigan|Macomb|Warren
West Valley City|UT|Utah|Salt Lake|West Valley City
Hampton|VA|Virginia|Hampton|Hampton
Pasadena|CA|California|Los Angeles|Pasadena
Miramar|FL|Florida|Broward|Miramar
Elizabeth|NJ|New Jersey|Union|Elizabeth
Stamford|CT|Connecticut|Western Connecticut|Stamford
Racine|WI|Wisconsin|Racine|Racine
Kent|WA|Washington|King|Kent
Yakima|WA|Washington|Yakima|Yakima
Coral Springs|FL|Florida|Broward|Coral Springs
Sterling Heights|MI|Michigan|Macomb|Sterling Heights
Billings|MT|Montana|Yellowstone|Billings
Bloomington|IL|Illinois|McLean|Bloomington
Charleston|WV|West Virginia|Kanawha|Charleston
Carrollton|TX|Texas|Dallas|Carrollton
Tyler|TX|Texas|Smith|Tyler
Iowa City|IA|Iowa|Johnson|Iowa City
Johnson City|TN|Tennessee|Washington|Johnson City
Santa Clara|CA|California|Santa Clara|Santa Clara
Bellingham|WA|Washington|Whatcom|Bellingham
Norman|OK|Oklahoma|Cleveland|Norman
Coeur d'Alene|ID|Idaho|Kootenai|Coeur d'Alene
Fort Smith|AR|Arkansas|Sebastian|Fort Smith
Lewisville|TX|Texas|Denton|Lewisville
Dover|DE|Delaware|Kent|Dover
Yuba City|CA|California|Sutter|Yuba City
Lehigh Acres|FL|Florida|Lee|Lehigh Acres
Abilene|TX|Texas|Taylor|Abilene
Simi Valley|CA|California|Ventura|Simi Valley
Pearland|TX|Texas|Brazoria|Pearland
Kenosha|WI|Wisconsin|Kenosha|Kenosha
Arecibo|PR|Puerto Rico|Arecibo|Arecibo
Meridian|ID|Idaho|Ada|Meridian
Round Rock|TX|Texas|Williamson|Round Rock
Waldorf|MD|Maryland|Charles|Waldorf
Temple|TX|Texas|Bell|Temple
Lynchburg|VA|Virginia|Lynchburg|Lynchburg
Rochester|MN|Minnesota|Olmsted|Rochester
Logan|UT|Utah|Cache|Logan
Arvada|CO|Colorado|Jefferson|Arvada
Clovis|CA|California|Fresno|Clovis
Independence|MO|Missouri|Jackson|Independence
Redding|CA|California|Shasta|Redding
Greenville|NC|North Carolina|Pitt|Greenville
Duluth|MN|Minnesota|St. Louis|Duluth
Berkeley|CA|California|Alameda|Berkeley
Boulder|CO|Colorado|Boulder|Boulder
Pueblo|CO|Colorado|Pueblo|Pueblo
West Palm Beach|FL|Florida|Palm Beach|West Palm Beach
Burlington|VT|Vermont|Chittenden|Burlington
Seaside|CA|California|Monterey|Seaside
Richardson|TX|Texas|Dallas|Richardson
Cambridge|MA|Massachusetts|Middlesex|Cambridge
Monroe|LA|Louisiana|Ouachita|Monroe
North Charleston|SC|South Carolina|Charleston|North Charleston
Saginaw|MI|Michigan|Saginaw|Saginaw
Clearwater|FL|Florida|Pinellas|Clearwater
The Woodlands|TX|Texas|Montgomery|The Woodlands
Brandon|FL|Florida|Hillsborough|Brandon
St. Cloud|MN|Minnesota|Stearns|St. Cloud
West Jordan|UT|Utah|Salt Lake|West Jordan
Broken Arrow|OK|Oklahoma|Tulsa|Broken Arrow
Harlingen|TX|Texas|Cameron|Harlingen
Kailua|HI|Hawaii|Honolulu|Kailua
Westminster|CO|Colorado|Adams|Westminster
Gilroy|CA|California|Santa Clara|Gilroy
Richmond|CA|California|Contra Costa|Richmond
Mandeville|LA|Louisiana|St. Tammany|Mandeville
Utica|NY|New York|Oneida|Utica
Ponce|PR|Puerto Rico|Ponce|Ponce
League City|TX|Texas|Galveston|League City
Port Arthur|TX|Texas|Jefferson|Port Arthur
Lowell|MA|Massachusetts|Middlesex|Lowell
East Los Angeles|CA|California|Los Angeles|East Los Angeles
Carlsbad|CA|California|San Diego|Carlsbad
Elgin|IL|Illinois|Kane|Elgin
Waterloo|IA|Iowa|Black Hawk|Waterloo
Leominster|MA|Massachusetts|Worcester|Leominster
Bend|OR|Oregon|Deschutes|Bend
Sioux City|IA|Iowa|Woodbury|Sioux City
Gresham|OR|Oregon|Multnomah|Gresham
Longview|TX|Texas|Gregg|Longview
Pompano Beach|FL|Florida|Broward|Pompano Beach
Downey|CA|California|Los Angeles|Downey
Murrieta|CA|California|Riverside|Murrieta
Idaho Falls|ID|Idaho|Bonneville|Idaho Falls
Miami Gardens|FL|Florida|Miami-Dade|Miami Gardens
Everett|WA|Washington|Snohomish|Everett
Holland|MI|Michigan|Ottawa|Holland
Costa Mesa|CA|California|Orange|Costa Mesa
Temecula|CA|California|Riverside|Temecula
Jacksonville|NC|North Carolina|Onslow|Jacksonville
San Buenaventura|CA|California|Ventura|San Buenaventura
Sugar Land|TX|Texas|Fort Bend|Sugar Land
Chico|CA|California|Butte|Chico
South Fulton|GA|Georgia|Fulton|South Fulton
Sparks|NV|Nevada|Washoe|Sparks
Eau Claire|WI|Wisconsin|Eau Claire|Eau Claire
Auburn|AL|Alabama|Lee|Auburn
Dearborn|MI|Michigan|Wayne|Dearborn
Riverview|FL|Florida|Hillsborough|Riverview
Allen|TX|Texas|Collin|Allen
West Covina|CA|California|Los Angeles|West Covina
Centennial|CO|Colorado|Arapahoe|Centennial
Bloomington|IN|Indiana|Monroe|Bloomington
Sandy Springs|GA|Georgia|Fulton|Sandy Springs
El Monte|CA|California|Los Angeles|El Monte
Hillsboro|OR|Oregon|Washington|Hillsboro
Menifee|CA|California|Riverside|Menifee
Rio Rancho|NM|New Mexico|Sandoval|Rio Rancho
Davie|FL|Florida|Broward|Davie
Jurupa Valley|CA|California|Riverside|Jurupa Valley
Columbia|MD|Maryland|Howard|Columbia
Inglewood|CA|California|Los Angeles|Inglewood
Spokane Valley|WA|Washington|Spokane|Spokane Valley
Renton|WA|Washington|King|Renton
San Tan Valley|AZ|Arizona|Pinal|San Tan Valley
Burbank|CA|California|Los Angeles|Burbank
Brockton|MA|Massachusetts|Plymouth|Brockton
El Cajon|CA|California|San Diego|El Cajon
Rialto|CA|California|San Bernardino|Rialto
San Mateo|CA|California|San Mateo|San Mateo
Goodyear|AZ|Arizona|Maricopa|Goodyear
Charlottesville|VA|Virginia|Charlottesville|Charlottesville
Lafayette|CO|Colorado|Boulder|Lafayette
Lee's Summit|MO|Missouri|Jackson|Lee's Summit
Edinburg|TX|Texas|Hidalgo|Edinburg
Daly City|CA|California|San Mateo|Daly City
Wichita Falls|TX|Texas|Wichita|Wichita Falls
Bowling Green|KY|Kentucky|Warren|Bowling Green
Longmont|CO|Colorado|Boulder|Longmont
Vacaville|CA|California|Solano|Vacaville
Highlands Ranch|CO|Colorado|Douglas|Highlands Ranch
Quincy|MA|Massachusetts|Norfolk|Quincy
Fishers|IN|Indiana|Hamilton|Fishers
Lynn|MA|Massachusetts|Essex|Lynn
Norwalk|CA|California|Los Angeles|Norwalk
Carmel|IN|Indiana|Hamilton|Carmel
Hesperia|CA|California|San Bernardino|Hesperia
St. Augustine|FL|Florida|St. Johns|St. Augustine
Buckeye|AZ|Arizona|Maricopa|Buckeye
San Angelo|TX|Texas|Tom Green|San Angelo
Federal Way|WA|Washington|King|Federal Way
Bismarck|ND|North Dakota|Burleigh|Bismarck
Boca Raton|FL|Florida|Palm Beach|Boca Raton
New Braunfels|TX|Texas|Comal|New Braunfels
Vista|CA|California|San Diego|Vista
Beaverton|OR|Oregon|Washington|Beaverton
Portsmouth|VA|Virginia|Portsmouth|Portsmouth
Orem|UT|Utah|Utah|Orem
Conroe|TX|Texas|Montgomery|Conroe
Suffolk|VA|Virginia|Suffolk|Suffolk
Sunrise|FL|Florida|Broward|Sunrise
Lawrence|KS|Kansas|Douglas|Lawrence
Arden-Arcade|CA|California|Sacramento|Arden-Arcade
Prescott Valley|AZ|Arizona|Yavapai|Prescott Valley
Middletown|OH|Ohio|Butler|Middletown
San German|PR|Puerto Rico|San Germán|San German
Edmond|OK|Oklahoma|Oklahoma|Edmond
Tracy|CA|California|San Joaquin|Tracy
Manteca|CA|California|San Joaquin|Manteca
Kingsport|TN|Tennessee|Sullivan|Kingsport
Portsmouth|NH|New Hampshire|Rockingham|Portsmouth
Sandy|UT|Utah|Salt Lake|Sandy
Palm Coast|FL|Florida|Flagler|Palm Coast
Slidell|LA|Louisiana|St. Tammany|Slidell
San Marcos|CA|California|San Diego|San Marcos
Livonia|MI|Michigan|Wayne|Livonia
Santa Fe|NM|New Mexico|Santa Fe|Santa Fe
Plantation|FL|Florida|Broward|Plantation
Atascocita|TX|Texas|Harris|Atascocita
Fall River|MA|Massachusetts|Bristol|Fall River
Compton|CA|California|Los Angeles|Compton
Carson|CA|California|Los Angeles|Carson
La Crosse|WI|Wisconsin|La Crosse|La Crosse
Missoula|MT|Montana|Missoula|Missoula
O'Fallon|MO|Missouri|St. Charles|O'Fallon
Mount Pleasant|SC|South Carolina|Charleston|Mount Pleasant
Roswell|GA|Georgia|Fulton|Roswell
Hoover|AL|Alabama|Jefferson|Hoover
Florence|SC|South Carolina|Florence|Florence
Williamsburg|VA|Virginia|Williamsburg|Williamsburg
South Gate|CA|California|Los Angeles|South Gate
Chino|CA|California|San Bernardino|Chino
Fort Myers|FL|Florida|Lee|Fort Myers
Kirkland|WA|Washington|King|Kirkland
Santa Monica|CA|California|Los Angeles|Santa Monica
Vineland|NJ|New Jersey|Cumberland|Vineland
Norwalk|CT|Connecticut|Western Connecticut|Norwalk
Alafaya|FL|Florida|Orange|Alafaya
Lawton|OK|Oklahoma|Comanche|Lawton
Avondale|AZ|Arizona|Maricopa|Avondale
Germantown|MD|Maryland|Montgomery|Germantown
Rapid City|SD|South Dakota|Pennington|Rapid City
Westminster|CA|California|Orange|Westminster
Clifton|NJ|New Jersey|Passaic|Clifton
Waukegan|IL|Illinois|Lake|Waukegan
Bloomington|MN|Minnesota|Hennepin|Bloomington
Mayaguez|PR|Puerto Rico|Mayagüez|Mayaguez
San Leandro|CA|California|Alameda|San Leandro
Newton|MA|Massachusetts|Middlesex|Newton
Joplin|MO|Missouri|Jasper|Joplin
Lawrence|MA|Massachusetts|Essex|Lawrence
Springdale|AR|Arkansas|Washington|Springdale
Troy|MI|Michigan|Oakland|Troy
Citrus Heights|CA|California|Sacramento|Citrus Heights
Deerfield Beach|FL|Florida|Broward|Deerfield Beach
Town 'n' Country|FL|Florida|Hillsborough|Town 'n' Country
Winchester|VA|Virginia|Winchester|Winchester
Mission|TX|Texas|Hidalgo|Mission
Bryan|TX|Texas|Brazos|Bryan
Hawthorne|CA|California|Los Angeles|Hawthorne
Whittier|CA|California|Los Angeles|Whittier
Livermore|CA|California|Alameda|Livermore
Lake Forest|CA|California|Orange|Lake Forest
San Ramon|CA|California|Contra Costa|San Ramon
Melbourne|FL|Florida|Brevard|Melbourne
Franklin|TN|Tennessee|Williamson|Franklin
Auburn|WA|Washington|King|Auburn
Port Huron|MI|Michigan|St. Clair|Port Huron
Decatur|IL|Illinois|Macon|Decatur
Baytown|TX|Texas|Harris|Baytown
Brooklyn Park|MN|Minnesota|Hennepin|Brooklyn Park
Springfield|OH|Ohio|Clark|Springfield
Newport Beach|CA|California|Orange|Newport Beach
Westland|MI|Michigan|Wayne|Westland
Newark|OH|Ohio|Licking|Newark
Muncie|IN|Indiana|Delaware|Muncie
Farmington Hills|MI|Michigan|Oakland|Farmington Hills
Cicero|IL|Illinois|Cook|Cicero
Buena Park|CA|California|Orange|Buena Park
Warwick|RI|Rhode Island|Kent|Warwick
Hattiesburg|MS|Mississippi|Forrest|Hattiesburg
Cranston|RI|Rhode Island|Providence|Cranston
Albany|GA|Georgia|Dougherty|Albany
Layton|UT|Utah|Davis|Layton
Madera|CA|California|Madera|Madera
Largo|FL|Florida|Pinellas|Largo
Redwood City|CA|California|San Mateo|Redwood City
Mountain View|CA|California|Santa Clara|Mountain View
Pine Hills|FL|Florida|Orange|Pine Hills
Folsom|CA|California|Sacramento|Folsom
Silver Spring|MD|Maryland|Montgomery|Silver Spring
Johns Creek|GA|Georgia|Fulton|Johns Creek
The Villages|FL|Florida|Sumter|The Villages
